pitcher,gameid,inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
"McGrath, Sean",20260301-BaggettStadium-1,10,0,0,1,1.0,2.0,Right,Slider,BallCalled,81.28,2704.13,5.194,5.869,3.347,-1.5360,-3.2993,5.3738,-15.8644,1.244,-1.082,-8.4265,-6.1018,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,2,0,0,6.0,1.0,Right,Fastball,FoulBallNotFieldable,89.60,2042.21,5.521,6.128,3.164,-2.5790,-4.5393,19.2174,9.9386,2.306,-0.260,-5.7837,-2.7764,68.04,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,0,0,0,1.0,1.0,Right,Slider,InPlay,81.71,2572.54,4.756,6.031,3.305,-0.4411,-3.1509,5.3771,-2.7724,2.362,0.083,-7.5128,-3.6373,102.51,LineDrive
"McGrath, Sean",20260301-BaggettStadium-1,10,0,1,1,1.0,3.0,Right,Fastball,BallCalled,82.09,2591.44,5.154,5.961,3.190,-1.7123,-4.0820,2.8254,-5.2479,1.015,-1.097,-8.9190,-5.0082,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,2,0,1,6.0,2.0,Right,Fastball,BallCalled,90.82,2123.63,5.686,6.073,2.912,-3.0638,-5.5810,15.5860,11.9649,1.605,-1.310,-6.6616,-3.4569,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,11,0,0,0,3.0,1.0,Right,Fastball,StrikeCalled,87.92,2064.13,5.668,5.889,3.075,-2.9608,-5.2496,23.8854,12.5889,1.977,-0.785,-5.6392,-3.0148,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,10,0,2,1,1.0,4.0,Right,Fastball,BallCalled,81.25,2411.94,4.896,5.982,3.091,0.2425,-3.8460,0.3888,-7.7489,2.593,-1.199,-7.5633,-5.2060,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,2,1,1,6.0,3.0,Right,Slider,StrikeCalled,80.12,2696.63,5.081,5.893,3.416,0.2781,-2.7227,4.8895,-17.3040,2.759,-0.594,-7.1529,-5.7736,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,10,0,3,1,1.0,5.0,Right,Fastball,StrikeCalled,88.59,1885.34,5.847,5.956,3.129,-2.5905,-4.6971,18.9202,6.3062,2.122,-0.721,-5.8129,-3.5726,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,11,0,0,1,3.0,2.0,Right,ChangeUp,InPlay,78.85,1728.91,5.995,5.940,3.096,-0.6560,-4.7115,15.3031,14.3299,2.822,-0.086,-6.3117,-2.1463,91.87,FlyBall
"McGrath, Sean",20260301-BaggettStadium-1,9,0,0,0,2.0,1.0,Right,Fastball,BallCalled,87.31,1989.29,5.626,5.985,3.274,0.2655,-4.5986,15.7655,13.9793,4.415,0.138,-3.8495,-2.1144,null,Undefined
